,gvkey,predicted_return,trade_date
0,1661,0.0195276689995545,2001-03-01
1,2991,0.0184052687257443,2001-03-01
2,5581,0.0196990346864991,2001-03-01
3,7620,0.0201533421819624,2001-03-01
4,11506,0.0185969198916234,2001-03-01
5,63892,0.0285989499495252,2001-03-01
6,120093,0.0275708721748799,2001-03-01
7,1380,0.0314278671969476,2001-06-01
8,1661,0.0314278671969476,2001-06-01
9,1678,0.0314278671969476,2001-06-01
10,2991,0.0314278671969476,2001-06-01
11,4430,0.0314278671969476,2001-06-01
12,4503,0.0314278671969476,2001-06-01
13,5439,0.0314278671969476,2001-06-01
14,5581,0.0314278671969476,2001-06-01
15,6788,0.0314278671969476,2001-06-01
16,7620,0.0314278671969476,2001-06-01
17,7938,0.0314278671969476,2001-06-01
18,8068,0.0314278671969476,2001-06-01
19,8151,0.0314278671969476,2001-06-01
20,8549,0.0314278671969476,2001-06-01
21,9465,0.0314278671969476,2001-06-01
22,10504,0.0314278671969476,2001-06-01
23,11506,0.0314278671969476,2001-06-01
24,14934,0.0314278671969476,2001-06-01
25,15247,0.0314278671969476,2001-06-01
26,16478,0.0314278671969476,2001-06-01
27,20548,0.0314278671969476,2001-06-01
28,28338,0.0314278671969476,2001-06-01
29,29173,0.0314278671969476,2001-06-01
30,63892,0.0314278671969476,2001-06-01
31,120093,0.0314278671969476,2001-06-01
32,1380,0.0323239627246581,2001-09-04
33,1661,0.0323239627246581,2001-09-04
34,1678,0.0323239627246581,2001-09-04
35,2991,0.0323239627246581,2001-09-04
36,4430,0.0323239627246581,2001-09-04
37,4503,0.0323239627246581,2001-09-04
38,5439,0.0323239627246581,2001-09-04
39,5581,0.0323239627246581,2001-09-04
40,6788,0.0323239627246581,2001-09-04
41,7620,0.0323239627246581,2001-09-04
42,7938,0.0323239627246581,2001-09-04
43,8068,0.0323239627246581,2001-09-04
44,8151,0.0323239627246581,2001-09-04
45,8549,0.0323239627246581,2001-09-04
46,9465,0.0323239627246581,2001-09-04
47,10504,0.0323239627246581,2001-09-04
48,11506,0.0323239627246581,2001-09-04
49,14934,0.0323239627246581,2001-09-04
50,15247,0.0323239627246581,2001-09-04
51,16478,0.0323239627246581,2001-09-04
52,20548,0.0323239627246581,2001-09-04
53,28338,0.0323239627246581,2001-09-04
54,29173,0.0323239627246581,2001-09-04
55,30923,0.0323239627246581,2001-09-04
56,63892,0.0323239627246581,2001-09-04
57,120093,0.0323239627246581,2001-09-04
58,1380,0.0282072541165297,2001-12-03
59,1661,0.0282072541165297,2001-12-03
60,1678,0.0282072541165297,2001-12-03
61,2991,0.0282072541165297,2001-12-03
62,4430,0.0282072541165297,2001-12-03
63,4503,0.0282072541165297,2001-12-03
64,5439,0.0282072541165297,2001-12-03
65,5581,0.0282072541165297,2001-12-03
66,6788,0.0282072541165297,2001-12-03
67,7620,0.0282072541165297,2001-12-03
68,7938,0.0282072541165297,2001-12-03
69,8068,0.0282072541165297,2001-12-03
70,8151,0.0282072541165297,2001-12-03
71,8549,0.0282072541165297,2001-12-03
